Linje 1 har ugyldig email: customer_id,name,email,purchase_amount
Linje 5 har ugyldig email: ,,,
Linje 6 har ugyldig email: ,,,
Linje 27 har ugyldig email: ,,,
Linje 37 har ugyldig email: 36,Brent Young,,777.45
Linje 40 har ugyldig email: ,,,
Linje 43 har ugyldig email: 42,Desiree Moreno,,439.51
Linje 93 har ugyldig email: 92,Gary Hendrix,gary.hendrixyahoo.com,371.15
Linje 96 har ugyldig email: 95,Michael Wilson,,903.11
Linje 99 har ugyldig email: ,,,
Linje 109 har ugyldig email: ,,,
Linje 116 har ugyldig email: ,,,
Linje 117 har ugyldig email: 116,Jacob Tate,,,799.37
Linje 119 har ugyldig email: ,,,
Linje 120 har ugyldig email: ,,,
Linje 173 har ugyldig email: nan,Jennifer White,jennifer.whitehotmail.com,403.83
Linje 179 har ugyldig email: 178,Casey Fisher,,308.27
Linje 185 har ugyldig email: 184,Joseph Baker,,871.23
Linje 187 har ugyldig email: 186,Nicole Solis,,689.58
Linje 191 har ugyldig email: 190,Samuel Williams,samuel.williamshotmail.com,32.72
Linje 207 har ugyldig email: ,,,
Linje 225 har ugyldig email: 224,Megan Elliott,,568.86
Linje 233 har ugyldig email: 232,Patty Walker,patty.walkerhotmail.com,204.63
Linje 239 har ugyldig email: 10,Bryan Mays DDS,,141.67
Linje 240 har ugyldig email: ,,,
Linje 246 har ugyldig email: ,,,
Linje 247 har ugyldig email: 246,John Wilkerson,,784.56
Linje 252 har ugyldig email: 251,James Foster,,119.91
Linje 259 har ugyldig email: 258,Tiffany Thomas,tiffany.thomasyahoo.com,66.62
Linje 263 har ugyldig email: 262,Wanda Greer,,356.81
Linje 264 har ugyldig email: ,,,
Linje 282 har ugyldig email: 281,Luis Young,,405.39
Linje 304 har ugyldig email: 303,Brenda Quinn,,977.94
Linje 306 har ugyldig email: ,,,
Linje 307 har ugyldig email: 306,Leslie Anderson,,424.53
Linje 318 har ugyldig email: 317,Jon Miller,,709.87
Linje 326 har ugyldig email: 325,Jennifer Rodriguez,jennifer.rodriguezgmail.com,552.82
Linje 349 har ugyldig email: ,,,
Linje 350 har ugyldig email: 349,Kimberly Webb,,100.24
Linje 363 har ugyldig email: ,,,
Linje 371 har ugyldig email: ,,,
Linje 382 har ugyldig email: ,,,
Linje 418 har ugyldig email: ,,,
Linje 419 har ugyldig email: ,,,,
Linje 431 har ugyldig email: 430,Jerome Miller,,482.66
Linje 441 har ugyldig email: ,,,
Linje 445 har ugyldig email: ,,,
Linje 473 har ugyldig email: 472,Jordan Mckinney,,681.32
Linje 475 har ugyldig email: 474,Heather Thompson,heather.thompsongmail.com,337.78
Linje 483 har ugyldig email: ,,,
Linje 503 har ugyldig email: ,,,
Linje 504 har ugyldig email: ,,,
Linje 505 har ugyldig email: ,,,
Linje 555 har ugyldig email: 554,Gary Mitchell,gary.mitchellhotmail.com,227.14
Linje 560 har ugyldig email: 559,Matthew Parks,,961.45
Linje 569 har ugyldig email: ,,,
Linje 573 har ugyldig email: ,,,
Linje 574 har ugyldig email: ,,,
Linje 580 har ugyldig email: ,,,
Linje 599 har ugyldig email: ,,,
Linje 601 har ugyldig email: ,,,
Linje 614 har ugyldig email: ,,,
Linje 615 har ugyldig email: 614,Lisa Ramirez,lisa.ramirezyahoo.com,61.41
Linje 634 har ugyldig email: 111,Steve Brady,,210.74
Linje 636 har ugyldig email: ,,,
Linje 645 har ugyldig email: ,,,
Linje 684 har ugyldig email: 683,Allison Turner,,874.88
Linje 688 har ugyldig email: 687,Timothy Flores,timothy.floreshotmail.com,946.62
Linje 689 har ugyldig email: ,,,
Linje 691 har ugyldig email: ,,,
Linje 703 har ugyldig email: ,,,
Linje 729 har ugyldig email: ,,,
Linje 737 har ugyldig email: ,,,
Linje 743 har ugyldig email: 742,Jessica Reed,jessica.reedgmail.com,-511.62
Linje 749 har ugyldig email: ,,,,
Linje 752 har ugyldig email: ,,,
Linje 760 har ugyldig email: ,,,
Linje 774 har ugyldig email: ,,,
Linje 782 har ugyldig email: 781,Michael Lewis,,900.81
Linje 786 har ugyldig email: ,,,
Linje 787 har ugyldig email: ,,,
Linje 795 har ugyldig email: ,,,
Linje 808 har ugyldig email: 807,Olivia Garcia,olivia.garciahotmail.com,628.0
Linje 817 har ugyldig email: 816,Daniel Mitchell,,851.82
Linje 830 har ugyldig email: ,,,
Linje 835 har ugyldig email: 834,Anthony Hunt,,80.75
Linje 846 har ugyldig email: 845,Rhonda Nguyen,,954.21
Linje 850 har ugyldig email: ,,,,
Linje 852 har ugyldig email: 851,Travis Vang,,660.6
Linje 855 har ugyldig email: 854,Edward Harper,edward.harperhotmail.com,70.77
Linje 856 har ugyldig email: 855,Clifford Parker,clifford.parkergmail.com,-308.58
Linje 861 har ugyldig email: ,,,
Linje 866 har ugyldig email: 865,Brandon Jarvis,brandon.jarvisyahoo.com,89.93
Linje 877 har ugyldig email: ,,,
Linje 888 har ugyldig email: 887,Marc Golden,,36.31
Linje 903 har ugyldig email: nan,Kerri Kemp,,282.64
Linje 914 har ugyldig email: 913,Christopher Hernandez,,371.66
Linje 917 har ugyldig email: ,,,
Linje 919 har ugyldig email: ,,,
Linje 923 har ugyldig email: 922,David Payne,,579.55
Linje 927 har ugyldig email: 926,Emily Ryan,emily.ryanhotmail.com,586.17
Linje 932 har ugyldig email: 931,Ernest Crane,ernest.cranehotmail.com,351.24
Linje 960 har ugyldig email: 959,Pamela Garcia,,599.28
Linje 978 har ugyldig email: 977,Erica Rasmussen,,948.72
Linje 986 har ugyldig email: 985,James Daniels,,739.65
Linje 994 har ugyldig email: 993,Heidi Finley,,443.72
Linje 995 har ugyldig email: ,,,
Linje 997 har ugyldig email: 996,Mrs. Monica Duffy,,918.96
Linje 1003 har ugyldig email: 1002,Tamara Hartman,tamara.hartmanhotmail.com,903.19
Linje 1015 har ugyldig email: ,,,
Linje 1038 har ugyldig email: ,,,
Linje 1049 har ugyldig email: ,,,
Linje 1062 har ugyldig email: 1061,David Marshall,,426.49
Linje 1067 har ugyldig email: ,,,
Linje 1072 har ugyldig email: 1071,Ashley Owens,ashley.owenshotmail.com,954.88
Linje 1092 har ugyldig email: 1091,Greg Mcfarland II,,299.08
Linje 1126 har ugyldig email: 1125,Christopher Brewer,,985.64
Linje 1136 har ugyldig email: 1135,Daniel Pierce,,355.42
Linje 1149 har ugyldig email: ,,,
Linje 1181 har ugyldig email: ,,,
Linje 1183 har ugyldig email: ,,,
Linje 1202 har ugyldig email: ,,,
Linje 1211 har ugyldig email: 1210,Chad Brown,,,128.89
Linje 1214 har ugyldig email: ,,,
Linje 1218 har ugyldig email: ,,,
Linje 1219 har ugyldig email: 1218,Daniel Arnold,,133.28
Linje 1220 har ugyldig email: ,,,
Linje 1228 har ugyldig email: ,,,
Linje 1235 har ugyldig email: ,,,
Linje 1243 har ugyldig email: 1242,Heidi Summers,,ABC123
Linje 1279 har ugyldig email: 1278,Natasha Howard,natasha.howardgmail.com,769.26
Linje 1295 har ugyldig email: ,,,
Linje 1301 har ugyldig email: 1300,  Patricia Hickman   ,,702.5
Linje 1307 har ugyldig email: 1306,Zachary Thompson,zachary.thompsongmail.com,727.89
Linje 1308 har ugyldig email: ,,,
Linje 1323 har ugyldig email: 1322,Nicole Bailey,,107.28
Linje 1334 har ugyldig email: ,,,
Linje 1354 har ugyldig email: ,,,
Linje 1355 har ugyldig email: 1354,Kevin Webb,kevin.webbgmail.com,125.73
Linje 1379 har ugyldig email: 1378,Oscar Cain,,431.55
Linje 1381 har ugyldig email: ,,,
Linje 1401 har ugyldig email: ,,,
Linje 1422 har ugyldig email: 1421,Kristin Johnston,kristin.johnstonhotmail.com,882.21
Linje 1438 har ugyldig email: 1437,Dawn Torres,,688.24
Linje 1441 har ugyldig email: ,,,
Linje 1451 har ugyldig email: 1450,Sarah Kaiser,,649.19
Linje 1456 har ugyldig email: 1455,Benjamin Farmer,,659.21
Linje 1476 har ugyldig email: ,,,
Linje 1482 har ugyldig email: ,,,
Linje 1486 har ugyldig email: 1485,John Ford,,228.61
Linje 1488 har ugyldig email: 1487,Kayla Moore,,833.87
Linje 1492 har ugyldig email: 1491,Timothy Reynolds,timothy.reynoldshotmail.com,327.56
Linje 1506 har ugyldig email: ,,,
Linje 1512 har ugyldig email: ,,,
Linje 1533 har ugyldig email: ,,,
Linje 1558 har ugyldig email: ,,,
Linje 1561 har ugyldig email: ,,,
Linje 1562 har ugyldig email: ,,,
Linje 1566 har ugyldig email: ,,,
Linje 1567 har ugyldig email: 1566,Jennifer Hernandez,,-674.36
Linje 1573 har ugyldig email: ,,,
Linje 1576 har ugyldig email: ,,,
Linje 1603 har ugyldig email: ,,,
Linje 1619 har ugyldig email: ,,,
Linje 1621 har ugyldig email: ,,,
Linje 1694 har ugyldig email: ,,,
Linje 1707 har ugyldig email: 1706,Timothy Wallace,timothy.wallaceyahoo.com,906.9
Linje 1710 har ugyldig email: 1709,Geoffrey Flowers,,339.23
Linje 1712 har ugyldig email: 1711,Michelle Smith,,521.6
Linje 1721 har ugyldig email: 1720,Edward Humphrey,,52.57
Linje 1730 har ugyldig email: 1729,Keith Harris,,205.6
Linje 1738 har ugyldig email: ,,,
Linje 1750 har ugyldig email: ,,,
Linje 1770 har ugyldig email: ,,,
Linje 1773 har ugyldig email: 1772,Benjamin Martin,benjamin.martingmail.com,209.83
Linje 1782 har ugyldig email: 1781,James Gonzalez,,121.12
Linje 1784 har ugyldig email: ,,,
Linje 1785 har ugyldig email: ,,,
Linje 1790 har ugyldig email: 1789,Charles Mccarthy,charles.mccarthyyahoo.com,565.64
Linje 1805 har ugyldig email: 1804,Jacob Hudson,,80.49
Linje 1824 har ugyldig email: ,,,
Linje 1828 har ugyldig email: ,,,
Linje 1840 har ugyldig email: 1839,Jason Page,,934.51
Linje 1860 har ugyldig email: ,,,
Linje 1872 har ugyldig email: ,,,
Linje 1894 har ugyldig email: 1893,Geoffrey Leonard MD,geoffrey.leonardgmail.com,677.86
Linje 1896 har ugyldig email: ,,,
Linje 1900 har ugyldig email: 1899,Catherine Burke,,70.52
Linje 1905 har ugyldig email: ,,,
Linje 1908 har ugyldig email: ,,,
Linje 1912 har ugyldig email: 1911,Robert Green,,431.13
Linje 1915 har ugyldig email: ,,,
Linje 1942 har ugyldig email: ,,,
Linje 1951 har ugyldig email: ,,,
Linje 1957 har ugyldig email: 1956,Alyssa Lewis,,642.83
Linje 1958 har ugyldig email: ,,,
Linje 1964 har ugyldig email: ,,,
Linje 1965 har ugyldig email: ,,,,
Linje 1966 har ugyldig email: ,,,
Linje 1971 har ugyldig email: ,,,
Linje 1977 har ugyldig email: ,,,
Linje 1986 har ugyldig email: ,,,
Linje 2007 har ugyldig email: ,,,
Linje 2033 har ugyldig email: 2032,Richard Stephens,,972.62
Linje 2034 har ugyldig email: ,,,
Linje 2041 har ugyldig email: ,,,
Linje 2049 har ugyldig email: ,,,
Linje 2053 har ugyldig email: 2052,Stacy Esparza,,ABC123
Linje 2059 har ugyldig email: 2058,Bryan Brown,,514.62
Linje 2069 har ugyldig email: ,,,
Linje 2078 har ugyldig email: 2077,Kelly Mccoy,,619.33
Linje 2083 har ugyldig email: 2082,Jonathon Williams,,-776.36
Linje 2090 har ugyldig email: ,,,
Linje 2125 har ugyldig email: ,,,
Linje 2126 har ugyldig email: ,,,
Linje 2129 har ugyldig email: ,,,
Linje 2132 har ugyldig email: ,,,
Linje 2149 har ugyldig email: 2148,Alison Garcia,,995.45
Linje 2164 har ugyldig email: 2163,Andrew Anderson,,457.26
Linje 2170 har ugyldig email: 2169,Jordan Dawson,,428.36
Linje 2172 har ugyldig email: ,,,
Linje 2180 har ugyldig email: 2179,Michael Lucas,,953.22
Linje 2198 har ugyldig email: ,,,
Linje 2207 har ugyldig email: ,,,
Linje 2213 har ugyldig email: 2212,Tami Gibson,,344.9
Linje 2221 har ugyldig email: 2220,Michael Lindsey,,693.96
Linje 2236 har ugyldig email: ,,,
Linje 2242 har ugyldig email: 2241,Tammy Chavez,tammy.chavezhotmail.com,920.54
Linje 2248 har ugyldig email: 2247,Michael Taylor,,233.79
Linje 2251 har ugyldig email: ,,,
Linje 2272 har ugyldig email: 2271,Daniel Hart,daniel.hartgmail.com,300.01
Linje 2287 har ugyldig email: 2286,Jon Gordon,,109.0
Linje 2290 har ugyldig email: ,,,
Linje 2293 har ugyldig email: 2292,Joshua Brown,joshua.brownhotmail.com,365.5
Linje 2294 har ugyldig email: ,,,
Linje 2297 har ugyldig email: 2296,  Meredith Peters   ,meredith.petershotmail.com,52.85
Linje 2304 har ugyldig email: 2303,Bryan Sullivan,,,472.63
Linje 2311 har ugyldig email: ,,,
Linje 2322 har ugyldig email: ,,,
Linje 2325 har ugyldig email: ,,,
Linje 2331 har ugyldig email: ,,,
Linje 2336 har ugyldig email: ,,,
Linje 2378 har ugyldig email: ,,,
Linje 2380 har ugyldig email: ,,,
Linje 2404 har ugyldig email: ,,,
Linje 2409 har ugyldig email: ,,,
Linje 2435 har ugyldig email: ,,,
Linje 2468 har ugyldig email: 2467,Casey Matthews,casey.matthewsyahoo.com,622.58
Linje 2487 har ugyldig email: ,,,
Linje 2517 har ugyldig email: ,,,
Linje 2536 har ugyldig email: ,,,
Linje 2546 har ugyldig email: 2545,Bryan Ruiz,bryan.ruizhotmail.com,130.51
Linje 2564 har ugyldig email: ,,,
Linje 2567 har ugyldig email: ,,,
Linje 2572 har ugyldig email: ,,,
Linje 2576 har ugyldig email: 2575,Jonathan Ramirez,,395.07
Linje 2585 har ugyldig email: ,,,
Linje 2614 har ugyldig email: ,,,
Linje 2626 har ugyldig email: 2625,Lance Walker,lance.walkerhotmail.com,768.150
Linje 2628 har ugyldig email: 2627,Jason Grant,jason.grantyahoo.com,244.55
Linje 2640 har ugyldig email: 2639,Heather Wagner,,648.29
Linje 2647 har ugyldig email: 2646,Rebecca Villarreal,,133.32
Linje 2653 har ugyldig email: ,,,
Linje 2660 har ugyldig email: 2659,Marie Wheeler,,478.11
Linje 2679 har ugyldig email: 2678,Jennifer Avery,,446.5
Linje 2685 har ugyldig email: 2684,Jorge Saunders,,852.54
Linje 2687 har ugyldig email: 2686,Deborah Spence,,834.930
Linje 2693 har ugyldig email: ,,,
Linje 2698 har ugyldig email: 2697,Derek Bentley II,,807.86
Linje 2701 har ugyldig email: 2700,Ian Brown,,93.94
Linje 2705 har ugyldig email: 2704,Natalie Gregory,,553.42
Linje 2706 har ugyldig email: 2705,Emily Anderson,,611.27
Linje 2710 har ugyldig email: ,,,
Linje 2750 har ugyldig email: ,,,
Linje 2756 har ugyldig email: ,,,
Linje 2761 har ugyldig email: ,,,
Linje 2762 har ugyldig email: 2761,Theresa Moreno,theresa.morenohotmail.com,313.87
Linje 2767 har ugyldig email: 2766,Mr. Jeffrey Bolton MD,,,441.06
Linje 2771 har ugyldig email: 2770,Victoria Rodriguez,,602.03
Linje 2784 har ugyldig email: ,,,
Linje 2794 har ugyldig email: ,,,
Linje 2796 har ugyldig email: ,,,
Linje 2801 har ugyldig email: ,,,,
Linje 2807 har ugyldig email: ,,,
Linje 2812 har ugyldig email: ,,,
Linje 2819 har ugyldig email: ,,,
Linje 2831 har ugyldig email: ,,,
Linje 2840 har ugyldig email: 2839,Christopher,,63.78
Linje 2865 har ugyldig email: ,,,
Linje 2878 har ugyldig email: 2877,Thomas Moon,,608.93
Linje 2884 har ugyldig email: ,,,
Linje 2885 har ugyldig email: ,,,
Linje 2886 har ugyldig email: 2885,James Kim,,644.06
Linje 2893 har ugyldig email: 2892,Laura Lee,,155.72
Linje 2907 har ugyldig email: ,,,
Linje 2923 har ugyldig email: 2922,Stephanie Franklin,,63.61
Linje 2948 har ugyldig email: 2947,Hannah Rivera,,436.44
Linje 2962 har ugyldig email: 2961,Kelly Oconnell,kelly.oconnellyahoo.com,49.29
Linje 2968 har ugyldig email: ,,,
Linje 3013 har ugyldig email: 3012,Mike West,,191.64
Linje 3028 har ugyldig email: ,,,
Linje 3046 har ugyldig email: ,,,
Linje 3049 har ugyldig email: ,,,
Linje 3061 har ugyldig email: ,,,
Linje 3109 har ugyldig email: ,,,
